1,412,303
2,411,292
3,410,280
1,409,308
2,409,297
3,406,285
4,426,310
5,427,309
6,426,294
7,424,281
8,443,311
9,443,299
10,443,286
11,444,273
12,464,314
13,463,302
14,462,291
15,460,281
16,458,270
17,482,317
18,483,306
19,481,296
20,481,285
21,478,274
22,475,265
23,508,329
24,508,316
25,507,305
26,507,294
27,504,275
28,501,260
30,523,330
31,524,318
32,524,306
33,522,292
34,520,270
35,519,254
36,540,330
37,542,317
38,542,306
39,542,292
38,543,330
39,543,315
40,543,304
41,542,293
43,540,272
44,537,260
45,535,250
47,559,332
48,560,323
49,561,311
50,561,300
51,559,288
52,557,270
53,556,257
54,554,243
56,578,335
57,578,322
58,579,312
59,579,300
60,579,287
62,575,265
63,574,252
64,571,240
66,597,319
67,596,308
68,596,300
70,595,265
71,592,253
72,590,243
73,586,233
75,386,273
76,382,262
77,377,254
78,403,267
79,396,254
80,389,243
81,418,261
82,415,252
83,408,240
84,403,235
85,437,259
86,431,244
87,424,234
88,416,223
89,452,253
90,446,242
91,444,231
92,438,220
93,431,209
94,469,247
95,465,237
96,460,227
97,455,218
98,449,205
99,441,198
100,495,239
101,490,229
102,487,219
103,481,209
104,481,209
105,475,200
106,469,189
108,464,182
109,511,234
110,507,225
111,503,212
112,496,200
113,489,190
114,483,182
116,476,172
117,529,231
118,525,221
119,521,211
120,516,201
122,511,194
123,507,184
124,501,174
125,497,166
126,489,157
127,547,225
128,541,214
129,536,204
130,533,195
132,527,184
133,522,175
134,516,164
135,508,154
136,500,148
136,563,218
137,560,209
138,556,201
139,554,193
140,551,184
142,543,173
143,538,165
144,533,158
145,529,150
146,525,142
147,516,132
148,581,216
149,577,205
150,574,194
151,568,184
152,564,175
153,560,166
154,553,158
155,548,147
156,543,141
157,533,130
158,529,123
162,365,241
163,355,232
164,346,228
165,377,229
166,366,219
167,353,212
168,388,216
169,379,209
170,371,203
171,360,197
172,402,206
173,392,197
174,379,188
175,369,181
176,417,194
177,408,185
178,399,176
179,387,169
180,376,163
181,431,183
182,421,173
183,412,167
184,404,160
185,391,154
186,381,150
187,449,164
188,441,155
189,432,151
190,423,143
191,415,134
192,405,132
193,393,123
195,462,154
196,453,146
197,445,138
198,430,129
199,420,120
200,414,117
201,400,109
203,477,141
204,469,136
205,459,128
206,453,122
207,444,115
209,434,107
210,426,103
211,417,99
212,407,93
213,488,133
214,478,124
215,474,116
216,464,107
217,456,98
219,445,92
220,436,87
221,425,83
222,415,76
223,504,119
224,494,111
225,490,104
226,481,99
227,475,92
228,464,85
230,455,75
231,452,75
232,442,69
233,433,62
234,425,58
235,517,108
236,508,100
237,499,93
238,491,85
239,483,76
240,476,69
241,468,64
242,462,60
243,449,53
244,440,49
245,430,42
248,345,189
249,333,184
250,320,181
251,309,180
253,349,170
254,335,169
255,322,163
256,312,163
257,361,155
258,347,153
259,334,149
260,324,148
261,308,145
262,366,140
263,355,137
264,343,135
265,332,132
266,322,129
267,312,129
268,377,117
269,365,112
270,356,109
271,344,107
272,334,106
273,323,105
274,307,104
276,386,101
277,371,97
278,360,91
279,349,88
280,339,88
281,322,86
282,309,85
284,392,86
285,380,81
286,371,76
287,359,72
288,352,71
290,344,68
291,330,66
292,319,63
293,310,63
294,398,69
295,388,63
296,378,60
297,367,57
298,357,54
300,344,52
301,333,52
302,322,50
303,310,50
304,408,53
305,395,49
306,387,45
307,378,41
308,368,39
309,359,38
311,352,35
312,339,31
313,332,32
314,324,29
315,310,30
317,416,40
318,408,33
319,393,30
320,385,25
321,374,21
322,363,20
323,351,19
324,341,16
325,332,14
326,322,14
327,309,13
329,290,182
330,277,183
331,267,183
332,256,185
333,290,165
334,277,165
335,260,167
336,248,170
337,288,146
338,277,146
339,264,148
340,253,152
341,240,154
342,289,127
343,278,127
344,268,131
345,255,132
346,246,134
347,233,139
348,291,101
349,279,103
350,269,103
351,256,104
352,242,106
353,237,110
354,224,117
356,291,84
357,279,84
358,265,88
359,255,88
360,237,97
361,224,97
362,214,103
364,290,69
365,279,71
366,270,71
367,258,72
368,247,72
370,238,75
371,228,79
372,218,80
373,208,84
374,293,51
375,280,52
376,266,52
377,255,52
378,244,53
380,233,57
381,222,62
382,213,65
383,201,69
384,291,33
385,279,33
386,272,33
